BirthRatePerYear;MortRatePerYear;RateAccumul;Time;SizePop;ExtStatus;PercentOffspringDead;propDeath;propDeathExtrinsic;propDeathMutation;LifeSpan0025;LifeSpan05;LifeSpan0975;LifeSpanMin;LifeSpanMax;Damage0025;Damage05;Damage0975;DamageMin;DamageMax
0.1;0.1;NA;2676;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.1;1;1514;1.9361;ext;0;0.0060684;0.0508475;0.949153;37;569;1094;12;1094;37;569;1094;12;1094
1.05;0.1;1;2978;4.5647;ext;0;0.00444065;0.0591133;0.940887;22.15;323;688;5;688;22.15;323;688;5;688
1.525;0.1;1;5035;4.8252;ext;0;0.00525717;0.0551181;0.944882;16;246;488;0;488;16;246;488;0;488
2;0.1;1;8686;4.4791;ext;0.017094;0.00644499;0.0346021;0.965398;25.725;220;250;2;250;25.725;220;250;2;250
0.1;0.575;NA;1941;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.575;NA;10330;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;0.575;1;1898;2.6819;ext;0.0126582;0.00602186;0.246914;0.753086;10;361;1094;5;1094;10;361;1094;5;1094
1.525;0.575;1;3107;3.2274;ext;0.0142857;0.0070453;0.22807;0.77193;16;195;410;3;410;16;195;410;3;410
2;0.575;1;3285;2.7122;ext;0.00694444;0.00808972;0.172727;0.827273;14;154;345;2;345;14;154;345;2;345
0.1;1.05;NA;1864;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.05;NA;2421;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.05;NA;8818;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.05;1;1771;2.601;ext;0.0428571;0.00735632;0.515625;0.484375;12;189;1094;4;1094;12;189;1094;4;1094
2;1.05;1;2191;4.2286;ext;0.0194805;0.00722345;0.408497;0.591503;5.15;142;479;1;479;5.15;142;479;1;479
0.1;1.525;NA;1096;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.525;NA;1167;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.525;NA;2827;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.525;NA;20255;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.525;1;1577;1.6849;ext;0.00884956;0.0116341;0.411168;0.588832;5;122;361.45;1;403;5;122;361.45;1;403
0.1;2;NA;840;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;2;NA;729;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;2;NA;1052;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;2;NA;2795;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;NA;7942;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
