BirthRatePerYear;MortRatePerYear;RateAccumul;Time;SizePop;ExtStatus;PercentOffspringDead;propDeath;propDeathExtrinsic;propDeathMutation;LifeSpan0025;LifeSpan05;LifeSpan0975;LifeSpanMin;LifeSpanMax;Damage0025;Damage05;Damage0975;DamageMin;DamageMax
0.1;0.1;NA;6099;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.1;1;245664;43.0142;ext;0.109936;0.038389;0.214281;0.785719;2;30;30;0;30;2;30;30;0;30
1.05;0.1;1;794443;43.952;ext;0.125374;0.067877;0.123419;0.876581;2;15;15;0;15;2;15;15;0;15
1.525;0.1;1;1200001;80.2714;no ext;0.268236;0.0825989;0.100962;0.899038;2;12;12;0;12;2;12;12;0;12
2;0.1;1;1200001;91.4762;no ext;0.480527;0.077037;0.106613;0.893387;2;13;13;0;13;2;13;13;0;13
0.1;0.575;NA;106;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;0.575;NA;712;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;0.575;1;31001;7.08;ext;0.0478616;0.0793684;0.592883;0.407117;0;13;20;0;20;0;13;20;0;20
1.525;0.575;1;182089;46.573;ext;0.149484;0.0978284;0.480618;0.519382;0;12;13;0;13;0;12;13;0;13
2;0.575;1;551703;41.3844;ext;0.148605;0.124777;0.37413;0.62587;0;9;9;0;9;0;9;9;0;9
0.1;1.05;NA;67;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.05;NA;114;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.05;NA;178;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.05;1;7611;33.931;ext;0.141197;0.101242;0.826317;0.173683;0;7;22;0;22;0;7;22;0;22
2;1.05;1;122935;30.0631;ext;0.122523;0.131629;0.641007;0.358993;0;7;11;0;11;0;7;11;0;11
0.1;1.525;NA;46;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;1.525;NA;65;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;1.525;NA;150;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;1.525;NA;176;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.525;1;1691;16.6298;ext;0.0847071;0.1421;0.847915;0.152085;0;5;15;0;15;0;5;15;0;15
0.1;2;NA;28;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.575;2;NA;40;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.05;2;NA;46;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1.525;2;NA;98;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;NA;212;NA;ini ext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
